ini,to.rem,m,s,p,m.s,s.s,p.s,val
36,0,-86.5,-51.9,-57.666666666666664,0.07765424062161101,-0.03162277660172919,3.6714112912564083,3.7806883084797485
37,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
38,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
39,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
40,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
41,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
42,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
43,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
44,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
45,4,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
46,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
47,4,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
48,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
49,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
50,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
51,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
52,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
53,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
54,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
55,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
56,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
57,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
58,0,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
59,3,-86.5,-51.9,-57.666666666666664,0.07765424062161101,-0.03162277660172919,3.6714112912564083,3.7806883084797485
60,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
61,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
62,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
63,1,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
64,3,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
65,2,-86.5,-51.9,-64.75,0.07765424062161101,-0.03162277660172919,-0.2721024480093339,0.38137946523267413
