sample,Dim.1,Dim.2,Dim.3,cluster,cc
32-E4-Be-Nov-11:03:29,-19.549054615250498,0.2584412930375146,0.033078836567079044,2,2-18
28-AE4-Qu-Nov-11:03:06,8.723382581717118,0.7927737744218251,1.2458573128017927,1,1-14
26-A4-Ac-Nov-10:54:06,-7.11640772637205,3.179334628463979,0.6844556957950475,4,4-20
68-A1-So-Nov-10:36:44,-22.556197323853077,4.857008659478804,0.1359685290538227,2,2-3
48-E4-Ti-Nov-10:27:06,-4.842990221937249,5.40173529066369,0.6356653065370276,4,4-25
3-A2-So-Nov-10:06:36,-35.35723632320938,9.872256034593752,-0.6400949906147112,2,2-14
59-A4-Fr-Nov-10:05:51,-16.857222760477867,12.663074484805417,-0.40589599765328316,2,2-5
54-A2-So-Nov-09:59:00,-23.26471324882368,8.391371267444248,-0.6115416285981027,2,2-4
73-A2-Ae-Nov-11:51:47,3.8646459118972167,1.1521297586327617,1.3610227718148125,4,4-9
41-AE2-Pr-Nov-11:51:13,-13.654184305472814,-3.716670812221284,1.5428551953095013,2,2-12
62-E2-Ca-Nov-11:28:59,0.6492852713929649,0.838113966586256,0.7614751264622102,4,4-5
6-A4-Fr-Nov-11:28:36,-24.53293532282682,12.974521612787376,-1.2631634044421285,2,2-16
7-E4-Be-Nov-11:19:16,-17.370345133188607,-0.43317894097111503,-0.49331282582966907,2,2-7
45-E4-Ti-Nov-11:19:05,-10.744032325746403,10.374066354850006,-0.27868701770370335,2,2-21
3-A2-Fr-Nov-11:08:22,-28.941725594574105,14.743972737576724,-1.7775563113264048,2,2-20
76-E1-Be-Nov-11:07:49,-19.598185093680307,-3.255744043698356,-0.2962043717723081,2,2-2
12-E4-Ti-Nov-09:38:30,-2.2671560484034434,4.021187018004219,-0.01876917879406554,4,4-8
30-E4-Be-Nov-15:26:27,-16.281158786132558,-2.872707509130253,-0.5434764553456691,2,2-13
5-E2-Be-Nov-15:20:57,-13.983411648838569,-0.20418626186607589,-0.8530007744669873,2,2-6
49-AE4-Be-Nov-15:13:20,-26.463210481277788,7.424015745575073,-2.0764328631938778,2,2-10
42-AE4-Pr-Nov-15:13:09,-9.562918871842422,-1.7208897703319426,0.7043589016840188,3,3-3
69-A2-Fr-Nov-15:12:36,-20.432037610276815,16.387842882955447,-2.1662118660512153,2,2-17
21-A4-Fr-Nov-14:55:07,-9.211658287703784,12.488736801184768,-1.166403502479226,4,4-19
26-A4-So-Sep-14:41:34,-12.761216029682297,2.2394399197204495,0.31635608485279815,2,2-15
26-A4-Ac-Sep-14:41:11,1.7685562001486776,-4.958714611002616,0.6922176894100962,3,3-19
3-A2-Fr-Sep-14:03:05,-3.482800560189762,-10.955939613408724,0.32478124576644224,3,3-17
58-E4-Qu-Sep-13:43:42,6.683630052171667,-4.192010326461359,0.64172963885726,1,1-19
53-A4-Pr-Sep-13:43:20,-4.384605478733127,-5.746405019881123,1.0655762109943723,3,3-20
68-A1-So-Sep-13:36:03,-11.304922753834916,-4.771298544729659,0.13120796710630603,3,3-10
78-AE2-Ac-Sep-13:28:55,1.0679039476622874,-6.929125371721297,1.2741406365877375,3,3-22
44-A4-So-Sep-13:28:44,-18.430273321379946,8.27876791261729,0.4418490390386115,2,2-23
