"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","contaminants","trap_condition","month","div","blk","myc","sr","sr_myc","month1","species","dryweight","dryweight_corr"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Prunus.avium",0.356,0.712
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.057,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Tilia.platyphyllos",0.066,0.132
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Prunus.avium",0.026,0.052
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Prunus.avium",0.012,0.024
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0,"ok","2023-05",2,1,"AM + EM",2,"2_AM + EM","May","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Prunus.avium",1.616,3.232
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",0.056,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Prunus.avium",1.293,2.586
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","B",0,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Tilia.platyphyllos",0.205,0.41
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Prunus.avium",1.15,2.3
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Quercus.petraea",NA,NA
